client_id,name,age,gender,income,credit_score,income_category,age_group
86748,Carolyn Johns,60,Male,80502,600,High,Senior
75567,Carlos Ramirez,60,Male,145532,309,High,Senior
40785,Jeremy Myers,75,Female,127039,808,High,Senior
52582,Kristen Garcia,77,Female,76079,328,Medium,Senior
49790,Steven Baker,80,Female,131736,434,High,Senior
15656,George French,58,Male,38206,373,Low,Senior
76890,Michael Brown,38,Male,53905,640,Medium,Adult
10818,Jesse Campbell,56,Female,76854,629,Medium,Senior
57141,Andrew Montoya,34,Male,90612,716,High,Adult
59936,Molly Beard,80,Male,131309,675,High,Senior
89771,Sergio Rios,50,Female,21434,509,Low,Adult
23158,Ashley Fisher,50,Male,107347,381,High,Adult
90492,Bernard Mendoza,43,Female,69001,489,Medium,Adult
38061,Kenneth Gibson,57,Female,104077,546,High,Senior
77602,Julie Powers,77,Female,45361,821,Medium,Senior
35058,Mitchell Simpson,80,Male,95515,604,High,Senior
91287,Anna Medina,79,Female,147416,752,High,Senior
48846,Kyle Williams,58,Female,112495,410,High,Senior
18630,Brandy Schneider,52,Male,83083,484,High,Senior
91456,Heather Ellis,70,Female,43283,822,Medium,Senior
51125,Stephen Jones,33,Male,53342,823,Medium,Adult
47405,Kurt Smith,19,Female,117949,708,High,Young
30344,Sara Andrews,57,Female,108806,346,High,Senior
45131,Melissa Myers,39,Male,115575,666,High,Adult
87463,Eddie Baker,33,Female,79111,477,Medium,Adult
13651,James Hernandez,20,Male,99450,504,High,Young
80716,Jennifer Yoder,50,Female,99232,561,High,Adult
99810,Juan Campbell,30,Male,122874,772,High,Adult
99181,Lance Watson,72,Female,123883,509,High,Senior
59582,Melinda Watson,29,Male,32762,825,Low,Adult
93178,Lisa Walker,62,Male,138677,772,High,Senior
8391,Heather Dean,62,Female,68283,423,Medium,Senior
77042,Ryan Orr,35,Female,28750,416,Low,Adult
36282,John Smith,36,Male,41480,697,Medium,Adult
17781,Tara Jackson,64,Female,70120,405,Medium,Senior
67242,Jeanne Walker,66,Female,125326,546,High,Senior
19837,Scott Dean,56,Male,127031,670,High,Senior
63721,Cesar Hayes,58,Female,98493,399,High,Senior
51954,Alexander Garrison,70,Female,31022,351,Low,Senior
62253,Kelly Moon,36,Female,40799,652,Medium,Adult
26339,Wanda Lopez,58,Male,116213,776,High,Senior
1033,Louis Harris,34,Female,139730,521,High,Adult
15386,Alexandra Hernandez,33,Male,86856,751,High,Adult
36482,John May,79,Female,68336,353,Medium,Senior
22923,Edward Hanson,64,Female,128791,793,High,Senior
62961,Tracey Warner,27,Female,87821,588,High,Adult
1916,Brian Hamilton,49,Male,119004,333,High,Adult
35516,Danielle Smith,32,Male,29188,418,Low,Adult
44316,Samuel Avila,74,Male,23213,428,Low,Senior
28292,Jennifer Dennis,48,Male,21950,594,Low,Adult
73909,Anita Bright,49,Male,25872,798,Low,Adult
73933,Tina Turner,78,Female,58989,459,Medium,Senior
41696,Robert Ferguson,24,Male,64094,460,Medium,Young
56375,Laura Nguyen,50,Female,54914,329,Medium,Adult
26807,Craig Quinn,37,Male,74829,559,Medium,Adult
90983,Kimberly Miller,61,Female,133734,493,High,Senior
90526,Ashley Meza,41,Male,100664,807,High,Adult
77859,Denise Casey,24,Male,108517,631,High,Young
41110,Benjamin Martinez,59,Female,130767,634,High,Senior
49240,Alicia Hooper,76,Male,29405,807,Low,Senior
14410,Scott Wiggins,49,Male,57021,675,Medium,Adult
18619,Danielle Bailey,23,Female,55295,752,Medium,Young
98034,Dr. Michael Simmons DDS,29,Female,89739,830,High,Adult
19172,Ryan Watson,27,Female,111387,446,High,Adult
26370,Jordan Martinez,61,Male,115050,846,High,Senior
45109,Donna Sharp,74,Male,139067,407,High,Senior
83992,Michael Simpson,59,Male,93106,839,High,Senior
53957,Robert Suarez,50,Male,82772,686,High,Adult
96882,Claire Estrada,55,Female,76783,339,Medium,Senior
13796,Michelle Anderson,49,Male,131264,603,High,Adult
12454,Brenda Simpson,21,Male,63843,660,Medium,Young
71212,Mark Hall,64,Male,59488,678,Medium,Senior
75833,Jason Sweeney,36,Female,31951,497,Low,Adult
35135,Teresa Davis,43,Female,24830,697,Low,Adult
64537,Sandra Shaw,29,Female,104294,663,High,Adult
26427,Jill Gibson,32,Male,34595,708,Low,Adult
25052,Heather Hudson,35,Male,90560,560,High,Adult
43732,Lisa Nelson,31,Male,106940,431,High,Adult
13350,Daniel Smith,44,Male,88214,796,High,Adult
52302,Kathleen Woods,78,Male,51246,384,Medium,Senior
38789,Darrell Flores,51,Male,89865,652,High,Senior
49327,Daniel Montoya,32,Male,70750,458,Medium,Adult
2349,Michelle Stewart,63,Female,88359,491,High,Senior
73664,Albert Jones,33,Female,121493,785,High,Adult
92434,George Wood,33,Male,122720,713,High,Adult
8526,Anthony Ryan,59,Male,146497,452,High,Senior
57531,Mitchell Gray,33,Female,32218,456,Low,Adult
60364,Matthew Elliott,67,Female,80208,363,High,Senior
18172,Daniel Blevins,68,Female,58790,611,Medium,Senior
89215,Laurie Miranda,53,Male,89341,679,High,Senior
32705,Manuel Martinez,33,Male,79205,471,Medium,Adult
1577,Chelsea Kennedy,54,Female,111759,424,High,Senior
75363,Michael Parker,18,Female,49419,748,Medium,Young
4941,Mr. David Jackson,36,Female,40572,489,Medium,Adult
23316,Randy Perez,22,Male,147842,667,High,Young
83922,Jasmin Griffin,69,Female,107495,704,High,Senior
48435,Pamela Williams,60,Female,22128,397,Low,Senior
52034,Adam Ryan,36,Male,23349,400,Low,Adult
62180,Crystal Leonard,74,Male,79831,380,Medium,Senior
94619,Lance Arnold,37,Male,91215,361,High,Adult
27443,Lori Stevens,42,Female,38922,379,Low,Adult
84951,Tammy Williams,55,Female,146156,686,High,Senior
85751,Joel Contreras,41,Male,69193,784,Medium,Adult
29441,Elizabeth Beard,76,Male,56937,838,Medium,Senior
58435,Christina Wright,21,Female,111947,649,High,Young
73647,Sarah Baker,25,Male,93565,541,High,Young
19921,Kevin Fritz,78,Female,125809,577,High,Senior
77730,Samantha Baker,54,Female,43123,348,Medium,Senior
84800,Kevin Doyle,26,Female,146110,558,High,Adult
75405,Sarah Lopez,42,Female,138848,784,High,Adult
23928,Brenda Boone,53,Male,98470,621,High,Senior
22653,Heather Baldwin,36,Female,78812,659,Medium,Adult
72112,Nicholas Brown,29,Male,57539,322,Medium,Adult
78117,Angela Zhang,22,Female,38614,792,Low,Young
36628,Jenny Moran,23,Female,91549,690,High,Young
79618,Caitlin Frank,44,Male,80347,325,High,Adult
32801,David Brown,58,Male,106631,461,High,Senior
85137,Jennifer Petersen,21,Female,86408,403,High,Young
30615,Jennifer Montgomery,57,Male,57025,409,Medium,Senior
92946,Christopher Calderon,67,Male,38133,662,Low,Senior
94480,Samantha Spencer,33,Male,44147,824,Medium,Adult
69924,Gabrielle Wade,20,Female,108433,620,High,Young
3097,Vincent Ryan,33,Male,23312,580,Low,Adult
86189,Sara Turner,51,Male,137931,672,High,Senior
67597,William Lloyd,47,Male,135388,347,High,Adult
85228,Pamela Bell,54,Female,93853,644,High,Senior
90678,Pamela Williams,52,Male,113558,394,High,Senior
12981,Melissa Martin,22,Male,145782,424,High,Young
52320,Jonathan Richardson,68,Male,66739,767,Medium,Senior
41344,Sean Cline,55,Female,140069,573,High,Senior
50157,Shelia Garcia,44,Male,68043,718,Medium,Adult
41529,Janet Hill,43,Male,37168,486,Low,Adult
81716,Cole Clark,32,Female,109525,493,High,Adult
76865,Robert Carrillo,62,Male,131226,536,High,Senior
86635,April Mcdonald,20,Female,21153,593,Low,Young
37716,John Lyons,43,Female,125762,479,High,Adult
81517,Sonya Clarke,75,Male,93587,678,High,Senior
78903,Jeffrey Smith,55,Female,55157,385,Medium,Senior
55298,Natalie Hudson,25,Female,101674,838,High,Young
87505,Judy Williams,43,Female,132190,679,High,Adult
62683,Jason Garcia,64,Male,125355,334,High,Senior
89454,Amanda Alvarez,43,Male,137089,839,High,Adult
26926,Lisa Frank,60,Male,23463,366,Low,Senior
24303,Ryan Carter,43,Female,31283,516,Low,Adult
35160,Charles Miller,67,Female,123614,381,High,Senior
88301,Jeffrey Oliver,18,Female,91839,708,High,Young
12950,Amanda Wolfe,49,Female,83354,425,High,Adult
93591,Sarah Campbell,79,Male,30347,342,Low,Senior
84136,Kerry Cruz,36,Male,48781,747,Medium,Adult
51384,Madeline Nguyen,64,Male,97637,616,High,Senior
14096,Jacob Morgan,67,Female,135622,669,High,Senior
13186,Eddie Key,46,Male,74627,449,Medium,Adult
54037,Kevin Perry,47,Male,30441,833,Low,Adult
36525,Kevin Woodard,32,Male,86229,343,High,Adult
45715,Daniel Smith,32,Female,61057,689,Medium,Adult
56943,Amanda Holmes,21,Female,130547,446,High,Young
93053,Jennifer Pitts,33,Female,25260,639,Low,Adult
89170,Adam Horton,51,Male,121602,428,High,Senior
29934,Donald Walters,32,Male,131069,432,High,Adult
67498,Claudia Martinez,39,Male,73305,408,Medium,Adult
83233,Victoria Green,30,Female,125016,769,High,Adult
9217,Robert Hanson,48,Male,35941,588,Low,Adult
16902,Alexander Gross,32,Female,97597,810,High,Adult
13721,Amanda Mitchell,29,Female,105974,400,High,Adult
7568,Valerie Moore,51,Female,81662,505,High,Senior
57353,Tyler Miller,24,Female,61627,669,Medium,Young
39444,Jonathan Gutierrez,78,Female,73857,487,Medium,Senior
58262,Matthew Miller,52,Female,115910,563,High,Senior
43472,Elizabeth White DDS,37,Female,98190,348,High,Adult
46129,Frank Johnson,45,Male,51712,318,Medium,Adult
24397,Mr. William Liu,74,Female,56564,840,Medium,Senior
18314,Rodney Reynolds,66,Male,58381,358,Medium,Senior
34679,John Rogers,75,Male,93269,768,High,Senior
47644,Tim Diaz,36,Female,112191,607,High,Adult
96319,Valerie Brown,78,Female,23555,455,Low,Senior
48773,Katherine Burton,37,Female,25271,638,Low,Adult
50314,Thomas Reyes,72,Female,140865,815,High,Senior
75126,Sarah Cox,62,Female,78118,324,Medium,Senior
4967,Ashley Young,23,Female,21898,444,Low,Young
64686,Heather Lowery,44,Female,119452,779,High,Adult
98706,Meghan Reyes MD,66,Male,58668,386,Medium,Senior
92805,Robert Taylor,53,Female,36435,377,Low,Senior
56897,Robert Gonzales,50,Female,67138,455,Medium,Adult
60542,Jordan Serrano,23,Male,95480,390,High,Young
34841,Douglas Holder,65,Male,91826,808,High,Senior
95875,Matthew Lewis,33,Female,52786,648,Medium,Adult
34403,John Allen,40,Male,76845,732,Medium,Adult
28832,Lonnie Franklin,37,Female,145814,444,High,Adult
22946,Linda Kaufman MD,80,Male,89525,801,High,Senior
36031,Jennifer Thompson,68,Female,129013,552,High,Senior
14953,Brooke Hanson,78,Male,127710,837,High,Senior
67582,Jacqueline Diaz,78,Female,91359,352,High,Senior
87541,Joseph Berry,51,Male,70786,324,Medium,Senior
2545,Bridget Lewis,48,Male,28319,570,Low,Adult
10174,Darlene Mullins,73,Male,40313,457,Medium,Senior
34768,Alyssa Watson,57,Male,117674,766,High,Senior
94005,Regina Gregory,78,Male,148042,827,High,Senior
14870,Kenneth Thompson,69,Male,38668,673,Low,Senior
16029,Laura Ward,71,Female,114218,308,High,Senior
36054,Cassandra Smith,65,Female,86049,468,High,Senior
82392,William Jones,40,Male,61497,366,Medium,Adult
77069,Erica Moreno,25,Female,32194,425,Low,Young
70899,Richard Perez,39,Male,80313,704,High,Adult
45007,Daniel Bryan,34,Male,33502,532,Low,Adult
9628,Terri Stevenson,65,Female,101166,315,High,Senior
85460,Michelle Johnson,26,Female,132226,742,High,Adult
50239,Sarah Ferguson,76,Female,44974,638,Medium,Senior
93198,Donald Chambers,57,Female,29500,728,Low,Senior
33372,Ashley Smith,67,Male,55346,464,Medium,Senior
95024,Charles Collier,56,Male,21262,328,Low,Senior
39562,Susan Taylor,52,Male,145598,659,High,Senior
52341,Chad Rodriguez,72,Male,53248,768,Medium,Senior
40847,Roy Williams,55,Male,83348,742,High,Senior
96118,Nicholas Harvey,72,Female,128866,432,High,Senior
25007,Molly James,21,Male,77314,536,Medium,Young
6027,Cynthia Weber,79,Female,140903,418,High,Senior
31848,Angela Moreno DDS,76,Female,96785,820,High,Senior
88039,Deborah Davis,60,Male,69370,677,Medium,Senior
49007,Mrs. Virginia Robinson,41,Male,50577,658,Medium,Adult
4286,Daniel Davis,48,Male,147496,493,High,Adult
15455,Adrian Ford,39,Female,70026,454,Medium,Adult
46131,Rachel Miller,22,Male,126339,606,High,Young
34558,Barbara Novak,62,Female,127407,843,High,Senior
35902,Crystal Holland,71,Male,106654,847,High,Senior
39187,Michael Simmons,50,Male,96741,485,High,Adult
70078,Aaron Gordon,67,Female,103722,346,High,Senior
8305,Aaron Newton,32,Male,127614,626,High,Adult
84695,Andrew Mahoney,25,Female,29533,419,Low,Young
11527,Haley Clark,51,Female,141291,523,High,Senior
50513,Mr. James Martinez DVM,36,Female,51692,566,Medium,Adult
91361,Michael Ho,67,Female,45389,529,Medium,Senior
47122,Steven Avila,60,Female,68372,604,Medium,Senior
42019,Shaun Steele,65,Male,20327,370,Low,Senior
96417,Gregg Kelly,57,Female,124751,540,High,Senior
42908,Nicole Rodriguez,75,Female,145366,774,High,Senior
44638,Justin Calderon,41,Female,38790,512,Low,Adult
55993,Brittany Smith,47,Male,76349,831,Medium,Adult
72083,Larry Long,47,Female,70708,581,Medium,Adult
59283,Sabrina Johnson,40,Male,45689,492,Medium,Adult
13168,Dana Shah,74,Female,111523,632,High,Senior
58309,Brandon Williams,60,Male,27304,617,Low,Senior
45902,Steven Pope,77,Female,20519,576,Low,Senior
43958,Preston Davila,19,Male,116852,489,High,Young
7408,Jennifer Benton,30,Male,74927,425,Medium,Adult
43114,Eugene Wagner,38,Female,119450,755,High,Adult
15063,David Dixon,42,Male,54790,485,Medium,Adult
57084,Jennifer Galvan,20,Male,58098,610,Medium,Young
90198,Jacqueline Young,68,Male,35757,533,Low,Senior
73420,David Torres,36,Female,60907,448,Medium,Adult
93818,Crystal Russell,73,Female,123033,759,High,Senior
54219,Deborah Morris,72,Female,30969,532,Low,Senior
52935,Robert Perkins,77,Male,97956,566,High,Senior
43629,Heather Miller,66,Female,57253,402,Medium,Senior
36550,David Mejia,72,Female,22902,499,Low,Senior
9055,James Leonard,59,Female,126397,444,High,Senior
76762,Joanna Lynch,29,Female,69017,799,Medium,Adult
68229,Julie Elliott,62,Male,129366,387,High,Senior
1951,Colin Cunningham,36,Male,42188,796,Medium,Adult
83097,Julie Hughes,71,Female,128083,643,High,Senior
52561,Michael Barr,35,Female,32028,489,Low,Adult
75213,Stacey Day,18,Male,31865,440,Low,Young
42738,Nicholas Brown Jr.,23,Female,78936,521,Medium,Young
66335,Jennifer Walker,69,Male,98706,638,High,Senior
13615,Mr. Nathan Jimenez,21,Male,63862,511,Medium,Young
33549,Kelsey Robinson,44,Female,22433,492,Low,Adult
69602,Douglas Hines,20,Female,110839,676,High,Young
32576,Eric Lucas,38,Female,73304,708,Medium,Adult
50857,Daniel Warren,55,Male,117660,533,High,Senior
53683,Katie Davis,35,Female,135891,484,High,Adult
55774,Nicholas Wilkins,27,Female,96134,539,High,Adult
91736,Rachel Bailey,40,Male,23279,490,Low,Adult
60448,Aaron Perkins,76,Male,28172,767,Low,Senior
14927,Colton Blair,41,Male,54568,463,Medium,Adult
77863,Steven Davenport,34,Male,78713,545,Medium,Adult
3610,Robert Underwood,24,Female,142929,573,High,Young
41472,David Wilson,53,Female,148232,655,High,Senior
33546,Cindy Hughes,70,Female,36293,786,Low,Senior
89975,Amy Wallace,80,Female,147062,347,High,Senior
86200,Amy Greene,76,Female,140337,654,High,Senior
2875,Jesse Holmes,27,Male,84425,783,High,Adult
62611,Jennifer Martin,18,Female,134700,496,High,Young
76406,Alexandria Andrade,61,Male,91736,655,High,Senior
5964,Jennifer Mckee,47,Female,53279,428,Medium,Adult
22451,Robert Diaz,42,Female,105084,563,High,Adult
46097,Gregory Smith IV,75,Female,29671,527,Low,Senior
14801,Michael Arellano,76,Female,111653,665,High,Senior
62757,Benjamin Webb,46,Female,92979,774,High,Adult
20515,Sharon Mccoy,26,Female,147115,741,High,Adult
31222,Ronald Rivera,58,Female,72734,416,Medium,Senior
41186,Daniel Randolph,75,Male,84808,776,High,Senior
35844,Carl Reid,77,Female,71947,323,Medium,Senior
80959,Robin Sherman,34,Male,128803,536,High,Adult
68488,Theodore Carter,43,Female,71364,577,Medium,Adult
57909,Ms. Ashley Washington,19,Female,21089,385,Low,Young
17899,David Odom,22,Male,26743,585,Low,Young
31905,Valerie Carter,21,Male,99075,713,High,Young
90666,Ricky Evans,58,Male,141131,452,High,Senior
30841,Adriana Barnett,27,Male,125541,507,High,Adult
35292,Lindsay Pierce,74,Male,64567,301,Medium,Senior
